Date,Price,Open,High,Low,Vol.,Change %
2/9/2023,8.62,8.66,8.67,8.6,8.49M,-0.23%
2/8/2023,8.64,8.63,8.66,8.62,10.82M,0.12%
2/7/2023,8.63,8.65,8.69,8.6,14.62M,-0.92%
2/3/2023,8.71,8.72,8.74,8.68,10.22M,-0.11%
2/2/2023,8.72,8.85,8.85,8.71,8.62M,-0.23%
01/31/2023,8.74,8.75,8.76,8.73,18.93M,-0.46%
01/30/2023,8.78,8.75,8.78,8.75,10.11M,0.46%
01/27/2023,8.74,8.78,8.8,8.73,7.68M,-0.46%
01/26/2023,8.78,8.81,8.81,8.77,3.45M,-0.34%
01/25/2023,8.81,8.8,8.82,8.79,7.31M,0.11%
01/20/2023,8.8,8.8,8.82,8.78,9.47M,0.00%
01/19/2023,8.8,8.85,8.86,8.78,8.46M,-0.11%
01/18/2023,8.81,8.79,8.84,8.77,12.03M,0.34%
01/17/2023,8.78,8.78,8.83,8.76,10.04M,0.00%
01/16/2023,8.78,8.86,8.87,8.77,13.28M,-0.90%
01/13/2023,8.86,8.81,8.86,8.81,4.41M,0.68%
1/12/2023,8.8,8.84,8.85,8.8,8.25M,-0.34%
1/11/2023,8.83,8.79,8.85,8.77,9.46M,0.46%
1/10/2023,8.79,8.8,8.83,8.76,9.59M,-0.11%
1/9/2023,8.8,8.79,8.82,8.77,8.90M,0.34%
1/6/2023,8.77,8.78,8.79,8.73,2.34M,-0.11%
1/5/2023,8.78,8.72,8.78,8.71,5.00M,0.80%
1/4/2023,8.71,8.71,8.73,8.67,5.77M,0.00%
1/3/2023,8.71,8.67,8.72,8.64,2.95M,0.11%
